method;dataset;sil;ch;db;acc;nmi;ari
baseline_kmeans;CITESEER;0.0085403845;16.92886949270325;7.82291608102231;0.42019837691614065;0.20001916343269796;0.15824792996685058
baseline_louvain;CITESEER;-0.061082624;9.262075434743723;10.543373918347172;0.5148782687105501;0.2429375885159677;0.22389351616065842
GCN_KMeans;CITESEER;0.6329263;4214.533732263307;0.7269011767816153;0.5178839795611662;0.2592565405939128;0.2356674760506265
GCN_Louvain;CITESEER;0.6434649;4294.8749858024485;0.7111813335752055;0.5112714156898106;0.25164590119129565;0.22740334366973716
